time	V(out)
Step Information: X=100n Y=1K  (Run: 1/6)
0.000000000000000e+000	0.000000e+000
6.000000496442226e-008	2.249278e-005
1.200000099288445e-007	8.994220e-005
2.400000198576890e-007	3.595378e-004
4.800000397153781e-007	1.173937e-003
5.199999602846219e-007	1.357485e-003
5.999998014231095e-007	1.828064e-003
7.599994837000847e-007	2.975760e-003
1.000000000000000e-006	4.983092e-003
2.512003252689466e-006	1.988583e-002
4.048006557008924e-006	3.474620e-002
6.977694057008924e-006	6.252042e-002
9.907381557008925e-006	8.958913e-002
1.283706905700892e-005	1.158762e-001
1.576675655700892e-005	1.414044e-001
2.162613155700892e-005	1.902706e-001
2.748550655700892e-005	2.363556e-001
3.627456905700892e-005	3.006123e-001
4.506363155700893e-005	3.594621e-001
5.385269405700894e-005	4.133599e-001
6.557144405700895e-005	4.782359e-001
7.729019405700896e-005	5.359373e-001
8.900894405700897e-005	5.872576e-001
1.007276940570090e-004	6.329024e-001
1.124464440570090e-004	6.734993e-001
1.241651940570090e-004	7.096068e-001
1.358839440570090e-004	7.417210e-001
1.476026940570090e-004	7.702839e-001
1.593214440570090e-004	7.956879e-001
1.710401940570090e-004	8.182826e-001
1.827589440570090e-004	8.383785e-001
1.944776940570091e-004	8.562521e-001
2.061964440570091e-004	8.721491e-001
2.179151940570091e-004	8.862880e-001
2.296339440570091e-004	8.988633e-001
2.413526940570091e-004	9.100479e-001
2.530714440570091e-004	9.199956e-001
2.647901940570091e-004	9.288433e-001
2.765089440570091e-004	9.367124e-001
2.882276940570091e-004	9.437113e-001
2.999464440570091e-004	9.499362e-001
3.116651940570092e-004	9.554727e-001
3.233839440570092e-004	9.603969e-001
3.351026940570092e-004	9.647766e-001
3.468214440570092e-004	9.686719e-001
3.585401940570092e-004	9.721365e-001
3.702589440570092e-004	9.752179e-001
3.819776940570092e-004	9.779585e-001
3.936964440570092e-004	9.803960e-001
4.054151940570092e-004	9.825640e-001
4.171339440570093e-004	9.844922e-001
4.288526940570093e-004	9.862072e-001
4.405714440570093e-004	9.877326e-001
4.522901940570093e-004	9.890893e-001
4.640089440570093e-004	9.902958e-001
4.786573815570093e-004	9.916182e-001
4.933058190570093e-004	9.927604e-001
5.010000000000000e-004	9.932980e-001
5.012789062500000e-004	9.927128e-001
5.020000000000001e-004	9.883394e-001
5.152241406250009e-004	8.660928e-001
5.269428906250009e-004	7.703124e-001
5.386616406250009e-004	6.851243e-001
5.503803906250009e-004	6.093571e-001
5.620991406250009e-004	5.419688e-001
5.738178906250010e-004	4.820330e-001
5.855366406250010e-004	4.287255e-001
5.972553906250010e-004	3.813131e-001
6.089741406250010e-004	3.391441e-001
6.206928906250010e-004	3.016385e-001
6.324116406250010e-004	2.682805e-001
6.441303906250010e-004	2.386117e-001
6.558491406250010e-004	2.122238e-001
6.675678906250010e-004	1.887542e-001
6.792866406250011e-004	1.678800e-001
6.910053906250011e-004	1.493143e-001
7.027241406250011e-004	1.328018e-001
7.144428906250011e-004	1.181154e-001
7.261616406250011e-004	1.050531e-001
7.378803906250011e-004	9.343540e-002
7.495991406250011e-004	8.310246e-002
7.613178906250011e-004	7.391225e-002
7.730366406250011e-004	6.573836e-002
7.847553906250011e-004	5.846842e-002
7.964741406250012e-004	5.200245e-002
8.081928906250012e-004	4.625155e-002
8.199116406250012e-004	4.113663e-002
8.316303906250012e-004	3.658737e-002
8.433491406250012e-004	3.254121e-002
8.550678906250012e-004	2.894251e-002
8.667866406250012e-004	2.574179e-002
8.785053906250012e-004	2.289503e-002
8.902241406250012e-004	2.036309e-002
9.019428906250012e-004	1.811115e-002
9.136616406250013e-004	1.610826e-002
9.253803906250013e-004	1.432686e-002
9.370991406250013e-004	1.274247e-002
9.488178906250013e-004	1.133329e-002
9.605366406250013e-004	1.007995e-002
9.751850781250013e-004	8.706358e-003
9.898335156250009e-004	7.519945e-003
1.000000000000000e-003	6.791520e-003
1.000078468750004e-003	6.868214e-003
1.000235406250011e-003	7.205852e-003
1.000549281250027e-003	8.389252e-003
1.000675792737913e-003	9.076754e-003
1.000746977024227e-003	9.573697e-003
1.000857631427373e-003	1.046993e-002
1.001000000000000e-003	1.173744e-002
1.002808080872365e-003	2.940541e-002
1.004630398601992e-003	4.684589e-002
1.007560086101992e-003	7.429141e-002
1.010489773601992e-003	1.010202e-001
1.013419461101991e-003	1.269773e-001
1.019278836101991e-003	1.766646e-001
1.025138211101991e-003	2.235241e-001
1.030997586101991e-003	2.677165e-001
1.039786648601991e-003	3.293343e-001
1.048575711101990e-003	3.857673e-001
1.060294461101990e-003	4.536947e-001
1.072013211101989e-003	5.141101e-001
1.083731961101989e-003	5.678442e-001
1.095450711101989e-003	6.156359e-001
1.107169461101988e-003	6.581423e-001
1.118888211101988e-003	6.959480e-001
1.130606961101987e-003	7.295729e-001
1.142325711101987e-003	7.594791e-001
1.154044461101986e-003	7.860781e-001
1.165763211101986e-003	8.097355e-001
1.177481961101986e-003	8.307767e-001
1.189200711101985e-003	8.494909e-001
1.200919461101985e-003	8.661356e-001
1.212638211101984e-003	8.809395e-001
1.224356961101984e-003	8.941063e-001
1.236075711101983e-003	9.058170e-001
1.247794461101983e-003	9.162326e-001
1.259513211101983e-003	9.254963e-001
1.271231961101982e-003	9.337356e-001
1.282950711101982e-003	9.410638e-001
1.294669461101981e-003	9.475815e-001
1.306388211101981e-003	9.533784e-001
1.318106961101980e-003	9.585342e-001
1.329825711101980e-003	9.631199e-001
1.341544461101980e-003	9.671984e-001
1.353263211101979e-003	9.708259e-001
1.364981961101979e-003	9.740523e-001
1.376700711101978e-003	9.769218e-001
1.388419461101978e-003	9.794739e-001
1.400138211101978e-003	9.817439e-001
1.411856961101977e-003	9.837629e-001
1.423575711101977e-003	9.855585e-001
1.435294461101976e-003	9.871556e-001
1.447013211101976e-003	9.885761e-001
1.458731961101975e-003	9.898394e-001
1.473380398601975e-003	9.912240e-001
1.488028836101974e-003	9.924199e-001
1.501000000000000e-003	9.933435e-001
1.501600000000000e-003	9.912394e-001
1.502000000000000e-003	9.883777e-001
1.515869062499997e-003	8.605580e-001
1.527587812499997e-003	7.653897e-001
1.539306562499996e-003	6.807461e-001
1.551025312499996e-003	6.054630e-001
1.562744062499995e-003	5.385054e-001
1.574462812499995e-003	4.789526e-001
1.586181562499995e-003	4.259857e-001
1.597900312499994e-003	3.788764e-001
1.609619062499994e-003	3.369768e-001
1.621337812499993e-003	2.997108e-001
1.633056562499993e-003	2.665661e-001
1.644775312499993e-003	2.370868e-001
1.656494062499992e-003	2.108676e-001
1.668212812499992e-003	1.875480e-001
1.679931562499991e-003	1.668072e-001
1.691650312499991e-003	1.483602e-001
1.703369062499990e-003	1.319532e-001
1.715087812499990e-003	1.173606e-001
1.726806562499990e-003	1.043818e-001
1.738525312499989e-003	9.283830e-002
1.750244062499989e-003	8.257140e-002
1.761962812499988e-003	7.343991e-002
1.773681562499988e-003	6.531826e-002
1.785400312499987e-003	5.809478e-002
1.797119062499987e-003	5.167013e-002
1.808837812499987e-003	4.595598e-002
1.820556562499986e-003	4.087375e-002
1.832275312499986e-003	3.635356e-002
1.843994062499985e-003	3.233325e-002
1.855712812499985e-003	2.875755e-002
1.867431562499984e-003	2.557728e-002
1.879150312499984e-003	2.274872e-002
1.890869062499984e-003	2.023296e-002
1.902587812499983e-003	1.799541e-002
1.914306562499983e-003	1.600532e-002
1.926025312499982e-003	1.423531e-002
1.937744062499982e-003	1.266104e-002
1.949462812499982e-003	1.126087e-002
1.961181562499982e-003	1.001554e-002
1.975829999999982e-003	8.650721e-003
1.990478437499983e-003	7.471889e-003
2.000000000000000e-003	6.791780e-003
2.000151687499858e-003	6.960256e-003
2.000353937499668e-003	7.560210e-003
2.000660023042691e-003	9.191267e-003
2.001000000000000e-003	1.171959e-002
2.002053928567658e-003	2.206619e-002
2.003141854831048e-003	3.260516e-002
2.005317707357826e-003	5.333313e-002
2.008247394857826e-003	8.061580e-002
2.011177082357826e-003	1.071620e-001
2.014106769857826e-003	1.329418e-001
2.019966144857827e-003	1.822896e-001
2.025825519857827e-003	2.288289e-001
2.034614582357827e-003	2.937189e-001
2.043403644857827e-003	3.531487e-001
2.052192707357828e-003	4.075778e-001
2.063911457357828e-003	4.730932e-001
2.075630207357829e-003	5.313633e-001
2.087348957357829e-003	5.831894e-001
2.099067707357830e-003	6.292841e-001
2.110786457357830e-003	6.702812e-001
2.122505207357830e-003	7.067445e-001
2.134223957357831e-003	7.391753e-001
2.145942707357831e-003	7.680197e-001
2.157661457357832e-003	7.936742e-001
2.169380207357832e-003	8.164915e-001
2.181098957357833e-003	8.367856e-001
2.192817707357833e-003	8.548353e-001
2.204536457357834e-003	8.708889e-001
2.216255207357834e-003	8.851672e-001
2.227973957357834e-003	8.978664e-001
2.239692707357835e-003	9.091613e-001
2.251411457357835e-003	9.192070e-001
2.263130207357836e-003	9.281418e-001
2.274848957357836e-003	9.360886e-001
2.286567707357837e-003	9.431565e-001
2.298286457357837e-003	9.494427e-001
2.310005207357838e-003	9.550338e-001
2.321723957357838e-003	9.600066e-001
2.333442707357838e-003	9.644294e-001
2.345161457357839e-003	9.683632e-001
2.356880207357839e-003	9.718618e-001
2.368598957357840e-003	9.749736e-001
2.380317707357840e-003	9.777412e-001
2.392036457357841e-003	9.802029e-001
2.403755207357841e-003	9.823922e-001
2.415473957357842e-003	9.843394e-001
2.427192707357842e-003	9.860713e-001
2.438911457357842e-003	9.876117e-001
